task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task102,outputs\onnx\task102.onnx,outputs\candidates\identity_removed\task102_ZeroAddRemoved.onnx,1137,1137,0,22167,22167,0,0,0,no zero-add patterns found
task103,outputs\onnx\task103.onnx,outputs\candidates\identity_removed\task103_ZeroAddRemoved.onnx,425,425,0,1669,1669,0,0,0,no zero-add patterns found
task104,outputs\onnx\task104.onnx,outputs\candidates\identity_removed\task104_ZeroAddRemoved.onnx,5414,5414,0,6350,6350,0,0,0,no zero-add patterns found
task105,outputs\onnx\task105.onnx,outputs\candidates\identity_removed\task105_ZeroAddRemoved.onnx,36364,36364,0,35291,35291,0,0,0,no zero-add patterns found
task106,outputs\onnx\task106.onnx,outputs\candidates\identity_removed\task106_ZeroAddRemoved.onnx,746,746,0,2939,2939,0,0,0,no zero-add patterns found
task107,outputs\onnx\task107.onnx,outputs\candidates\identity_removed\task107_ZeroAddRemoved.onnx,42039,42039,0,31191,31191,0,0,0,no zero-add patterns found
task108,outputs\onnx\task108.onnx,outputs\candidates\identity_removed\task108_ZeroAddRemoved.onnx,9000,9000,0,7454,7454,0,0,0,no zero-add patterns found
task109,outputs\onnx\task109.onnx,outputs\candidates\identity_removed\task109_ZeroAddRemoved.onnx,2541,2541,0,5491,5491,0,0,0,no zero-add patterns found
task110,outputs\onnx\task110.onnx,outputs\candidates\identity_removed\task110_ZeroAddRemoved.onnx,4623,4623,0,21494,21494,0,0,0,no zero-add patterns found
task111,outputs\onnx\task111.onnx,outputs\candidates\identity_removed\task111_ZeroAddRemoved.onnx,248,248,0,1457,1457,0,0,0,no zero-add patterns found
task112,outputs\onnx\task112.onnx,outputs\candidates\identity_removed\task112_ZeroAddRemoved.onnx,564,564,0,3987,3987,0,0,0,no zero-add patterns found
task113,outputs\onnx\task113.onnx,outputs\candidates\identity_removed\task113_ZeroAddRemoved.onnx,270,270,0,499,499,0,0,0,no zero-add patterns found
task114,outputs\onnx\task114.onnx,outputs\candidates\identity_removed\task114_ZeroAddRemoved.onnx,934,934,0,4719,4719,0,0,0,no zero-add patterns found
task115,outputs\onnx\task115.onnx,outputs\candidates\identity_removed\task115_ZeroAddRemoved.onnx,429,429,0,5069,5069,0,0,0,no zero-add patterns found
task116,outputs\onnx\task116.onnx,outputs\candidates\identity_removed\task116_ZeroAddRemoved.onnx,270,270,0,479,479,0,0,0,no zero-add patterns found
task117,outputs\onnx\task117.onnx,outputs\candidates\identity_removed\task117_ZeroAddRemoved.onnx,2113,2113,0,8103,8103,0,0,0,no zero-add patterns found
task118,outputs\onnx\task118.onnx,outputs\candidates\identity_removed\task118_ZeroAddRemoved.onnx,9433,9433,0,160396,160396,0,0,0,no zero-add patterns found
task119,outputs\onnx\task119.onnx,outputs\candidates\identity_removed\task119_ZeroAddRemoved.onnx,5856,5856,0,25915,25915,0,0,0,no zero-add patterns found
task120,outputs\onnx\task120.onnx,outputs\candidates\identity_removed\task120_ZeroAddRemoved.onnx,4550,4550,0,3836,3836,0,0,0,no zero-add patterns found
task121,outputs\onnx\task121.onnx,outputs\candidates\identity_removed\task121_ZeroAddRemoved.onnx,366,366,0,3339,3339,0,0,0,no zero-add patterns found
task122,outputs\onnx\task122.onnx,outputs\candidates\identity_removed\task122_ZeroAddRemoved.onnx,12550,12550,0,10236,10236,0,0,0,no zero-add patterns found
task123,outputs\onnx\task123.onnx,outputs\candidates\identity_removed\task123_ZeroAddRemoved.onnx,8497,8497,0,8997,8997,0,0,0,no zero-add patterns found
task124,outputs\onnx\task124.onnx,outputs\candidates\identity_removed\task124_ZeroAddRemoved.onnx,3113,3113,0,4339,4339,0,0,0,no zero-add patterns found
task125,outputs\onnx\task125.onnx,outputs\candidates\identity_removed\task125_ZeroAddRemoved.onnx,644,644,0,3032,3032,0,0,0,no zero-add patterns found
task126,outputs\onnx\task126.onnx,outputs\candidates\identity_removed\task126_ZeroAddRemoved.onnx,347,347,0,2765,2765,0,0,0,no zero-add patterns found
