task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,compressed_initializers,compressed_initializer_elements
task074,outputs\onnx\task074.onnx,outputs\candidates\dtype_ablation_20260609\task074_InitializerDtypeCompression.onnx,321,321,0,1824,1824,0,13,13,0,0
task075,outputs\onnx\task075.onnx,outputs\candidates\dtype_ablation_20260609\task075_InitializerDtypeCompression.onnx,509,509,0,7736,7736,0,30,30,0,0
task076,outputs\onnx\task076.onnx,outputs\candidates\dtype_ablation_20260609\task076_InitializerDtypeCompression.onnx,17538,8074,-9464,36146,26775,-9371,44,44,1,1352
task077,outputs\onnx\task077.onnx,outputs\candidates\dtype_ablation_20260609\task077_InitializerDtypeCompression.onnx,6972,6552,-420,9860,9503,-357,20,20,1,420
task078,outputs\onnx\task078.onnx,outputs\candidates\dtype_ablation_20260609\task078_InitializerDtypeCompression.onnx,276,276,0,2588,2588,0,11,11,0,0
task079,outputs\onnx\task079.onnx,outputs\candidates\dtype_ablation_20260609\task079_InitializerDtypeCompression.onnx,1301,1301,0,2695,2695,0,7,7,0,0
task080,outputs\onnx\task080.onnx,outputs\candidates\dtype_ablation_20260609\task080_InitializerDtypeCompression.onnx,9335,4126,-5209,18484,14240,-4244,31,31,9,1179
task081,outputs\onnx\task081.onnx,outputs\candidates\dtype_ablation_20260609\task081_InitializerDtypeCompression.onnx,627,627,0,3749,3749,0,17,17,0,0
task082,outputs\onnx\task082.onnx,outputs\candidates\dtype_ablation_20260609\task082_InitializerDtypeCompression.onnx,443,443,0,2282,2282,0,10,10,0,0
task083,outputs\onnx\task083.onnx,outputs\candidates\dtype_ablation_20260609\task083_InitializerDtypeCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task084,outputs\onnx\task084.onnx,outputs\candidates\dtype_ablation_20260609\task084_InitializerDtypeCompression.onnx,722,722,0,4301,4301,0,9,9,0,0
task085,outputs\onnx\task085.onnx,outputs\candidates\dtype_ablation_20260609\task085_InitializerDtypeCompression.onnx,558,558,0,2547,2547,0,14,14,0,0
task086,outputs\onnx\task086.onnx,outputs\candidates\dtype_ablation_20260609\task086_InitializerDtypeCompression.onnx,1153,769,-384,4727,4465,-262,19,19,2,128
task087,outputs\onnx\task087.onnx,outputs\candidates\dtype_ablation_20260609\task087_InitializerDtypeCompression.onnx,144,144,0,474,474,0,5,5,0,0
task088,outputs\onnx\task088.onnx,outputs\candidates\dtype_ablation_20260609\task088_InitializerDtypeCompression.onnx,10824,2760,-8064,14980,7084,-7896,18,18,2,1152
task089,outputs\onnx\task089.onnx,outputs\candidates\dtype_ablation_20260609\task089_InitializerDtypeCompression.onnx,879,879,0,17792,17792,0,25,25,0,0
task090,outputs\onnx\task090.onnx,outputs\candidates\dtype_ablation_20260609\task090_InitializerDtypeCompression.onnx,438,438,0,19660,19660,0,41,41,0,0
task091,outputs\onnx\task091.onnx,outputs\candidates\dtype_ablation_20260609\task091_InitializerDtypeCompression.onnx,963,963,0,4627,4627,0,14,14,0,0
task092,outputs\onnx\task092.onnx,outputs\candidates\dtype_ablation_20260609\task092_InitializerDtypeCompression.onnx,90,90,0,4299,4299,0,9,9,0,0
