task_id,selected_source,selected_model_path,selected_estimated_cost,selected_file_size_bytes,archive_valid,archive_estimated_cost,archive_file_size_bytes,archive_failure_reason,current_valid,current_estimated_cost,current_file_size_bytes,current_failure_reason
task112,archive,outputs\archive_all_repaired_verified_onnx\task112.onnx,564,3987,True,564,3987,,False,,,missing_model
task113,archive,outputs\archive_all_repaired_verified_onnx\task113.onnx,270,499,True,270,499,,False,,,missing_model
task114,archive,outputs\archive_all_repaired_verified_onnx\task114.onnx,934,4719,True,934,4719,,False,,,missing_model
task115,archive,outputs\archive_all_repaired_verified_onnx\task115.onnx,429,5069,True,429,5069,,False,,,missing_model
task116,archive,outputs\archive_all_repaired_verified_onnx\task116.onnx,270,479,True,270,479,,True,4563,4053,
task117,archive,outputs\archive_all_repaired_verified_onnx\task117.onnx,2194,8262,True,2194,8262,,False,,,missing_model
task118,archive,outputs\archive_all_repaired_verified_onnx\task118.onnx,9433,160396,True,9433,160396,,False,,,missing_model
task119,archive,outputs\archive_all_repaired_verified_onnx\task119.onnx,5856,25915,True,5856,25915,,False,,,missing_model
task120,archive,outputs\archive_all_repaired_verified_onnx\task120.onnx,4605,4217,True,4605,4217,,False,,,missing_model
task121,archive,outputs\archive_all_repaired_verified_onnx\task121.onnx,366,3339,True,366,3339,,False,,,missing_model
task122,archive,outputs\archive_all_repaired_verified_onnx\task122.onnx,12605,10617,True,12605,10617,,False,,,missing_model
task123,archive,outputs\archive_all_repaired_verified_onnx\task123.onnx,8497,8997,True,8497,8997,,False,,,missing_model
task124,archive,outputs\archive_all_repaired_verified_onnx\task124.onnx,3113,4339,True,3113,4339,,False,,,missing_model
task125,archive,outputs\archive_all_repaired_verified_onnx\task125.onnx,644,3032,True,644,3032,,False,,,missing_model
task126,archive,outputs\archive_all_repaired_verified_onnx\task126.onnx,347,2765,True,347,2765,,False,,,missing_model
task127,archive,outputs\archive_all_repaired_verified_onnx\task127.onnx,4500,3772,True,4500,3772,,False,,,missing_model
task128,archive,outputs\archive_all_repaired_verified_onnx\task128.onnx,906,3365,True,906,3365,,False,,,missing_model
task129,archive,outputs\archive_all_repaired_verified_onnx\task129.onnx,258,1196,True,258,1196,,False,,,missing_model
