task_id,candidate_zip_path,upload_submission_path,replacement_model_path,replacement_estimated_cost,best_6348_estimated_cost,cost_delta_6275_minus_best_6348,base_lane_replaced,overrides_lane_replaced,replacement_sha256,base_lane_old_sha256,overrides_lane_old_sha256,candidate_valid,failure_reason
task285,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task285_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task285_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task285.onnx,5662,14882,-9220,True,True,e83439a383382aba557b2c3691ecd4134d2bf8c4e9b78f5b076b2eb9f3c78010,21bca96dfe13a8adec72ee5d3f8a8291a2745e31b1b580c541f4574622e8ea6c,835462fe95cbd2df1fd65bda9deceddbccd609cdca5e0308b6fe1f66e8163431,True,
task314,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task314_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task314_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task314.onnx,1536,1558,-22,True,True,6de48aa8380bfa9f60145881280cb81f0649f178f1a74456c5c40334004417b4,c5e30ef3e59d2973ed66b4202d3784913f7d6936ce28ce71437eb9d398cfc298,dfd4d1c1774b4c367fe66245f2a2d2264c1c1c525a9da8faf9f96626e01d3a8a,True,
task318,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task318_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task318_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task318.onnx,0,3,-3,True,True,01e41dcca08ca7c9bf4611eeaa13b8a96acc912291ce485fab569cc9819787cb,8a6d9a5329cb6796da0fa92ad568b2b6d4486946f9e8ba759321818a4ca8144c,9b7fa65ba816b2ed29cb5ad8837f99771f1625311f32286ab70c9ef94083e428,True,
task322,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task322_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task322_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task322.onnx,0,185,-185,True,True,0027f18a5feebb51f7cf1149c2cb9c9b8ad2d16b656b61189674cab55adad380,76d48cfa34d45cce83c65250f3ce4b0e19d13bf413c8518d3c002973eb0dacb5,ab4dac6e0fa488f95258ad434a0a5a81121d1494736932a83cf2fb836ed0c2ee,True,
task328,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task328_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task328_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task328.onnx,2532,9012,-6480,True,True,23de6b8cd14e063823c82a96e8174490f3e0906e01523668c5c1dc12428bd825,5e577adeb141a5a522c273f891701d12837320df953707180471e62c0f45f621,e185b61b47d11ae211efef038c04bfe88dce0c163476dc6b8068c6c879d333b1,True,
task332,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task332_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task332_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task332.onnx,527,905,-378,True,True,63b49e57ff675a0a3788e7ad9570a45362b22f661312af29f635f2fa04334716,48cd1db44af7add465a5ff82c5375d6f8cd8e9eb6d035f67f802fb51d24c5fdf,becdaad301d7922e8b044db657cbaff61f7d067046a3124224ac953b7ef5ac4b,True,
task341,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task341_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task341_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task341.onnx,2523,2523,0,True,True,564fae20dee0f5a54330c3170bfad5824556165d5a206e82a19c9264faaaaf05,c71ffbf3d469ff1f5ff08e06e8a0e63931c352df9bedb0eab43b2adbea21010c,8cbc6d2c78976072bac2b4c9f8403cabaf4a703f348af2e6f8bce0fbc636be97,True,
task347,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task347_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task347_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task347.onnx,0,235,-235,True,True,cd9bbaa7d5e469c745248f82d99d56531ab5b5490a34b935257d0d61fd7e1d09,fed395462b49017236bd7c8efec1bf01bac6ab9d8aaab79388c4befd346d40cc,e163b8988d980c1bb7389bf5825ce0c73950d6e669185156caa25dbfee417e3b,True,
task359,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task359_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task359_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task359.onnx,117,117,0,True,True,1c4683356c52e5f1ca1b725734fdf8932a57c9fe9c74559da7a2378c9f86293c,5402e526d36f56006e6fe3438c6875e02057cade74e68784d892dc9c4510bdb1,a7bcb86bd2c4b1c54e2258736c59a167efef7c9b096f5a6a44ceef7b096f4b49,True,
task360,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task360_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task360_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task360.onnx,228,228,0,True,True,8216475b8f3063764bb86d838de60dc9c23365d30e0e69a100fed2dbd1259833,cbf7727157a80c28ac6fcc451f84b9049d33032b1ef3a0e2d1f894ae885bcc5d,f8c32559c11561f425f68fba8838cd9070dd1cad9ad2383318eb04b20eeba84c,True,
task363,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task363_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task363_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task363.onnx,1014,4966,-3952,True,True,8a3cfb5d37774abac99d835a86a8babd5b0b5b962b572c370ff9b245ade595a2,b8bb005f95baf0f7f1187a369a57d564e14b956a7cd8fefaad5c607a51213fb3,d236a98e2288af395d6765e8d0ceb53da8b8688885a0c58ee463ccd62a21968c,True,
task367,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task367_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task367_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task367.onnx,717,722,-5,True,True,9bcbc96965d6d1422d31fb965e5ef18e3b5b71c18df09ea24877f6dab1181433,ea3969fd6929edb7b1ccabe3db2c9f2ffc4b995aae190c1726b93016b6ce2f02,257973ea2ea3bb24fa53af0e3dccea96770e4e53615c249ecf512f1221f1653f,True,
task368,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task368_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task368_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task368.onnx,429,511,-82,True,True,fb13ef89494b35d91e797f4295a7a89ef8111ed8b5d8f62974f2ce5be08e16a8,adfad0a22cf1d32c9ccbab87c6233078e6282ef114061e9a8d631c80d4ea836a,8bb9077afed7386884c92b4638b4e7dd8f36d7130a78597514632fba99302f20,True,
task370,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task370_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task370_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task370.onnx,813,5221,-4408,True,True,15b5e8b9e31b954497503f43e57b54cae68434c7037406c015051ad4c4a55a61,b4d467fbad3f58374b6befbee260b33db91eeab7315a61842d6c56e5021f8ff8,60c4513cfdf0bf37ef0703c2cb4dcdcb792e164c15c23d395578693e4d087f07,True,
task372,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task372_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task372_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task372.onnx,108,111,-3,True,True,612684b2e2b88419b0dffb9061ba10832910a5dcbc1dedfb2dc7aba90a0290f7,8287976a56507f8fa1adddb31b7db71a31afc8b1966ef19d1d7f2775c85f696c,27e721ae59de6b75ddc0b3df766aa6cfe28eb6ab44b20ec79bd892b61be54060,True,
task373,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task373_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task373_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task373.onnx,36,197,-161,True,True,febd0e663c6704afa5d637e656bb7decaf87e1523de97cd6fac5a3db41f7c234,e3ca2087cc04caad3b005d7dfc630796288768c44b0d1bc85e85f3494ba1be24,ea87e51bdef074bd7cdc927fbc57a197dcf4a0aeb6dde49f6bd8f3d485a4d63c,True,
task377,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task377_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task377_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task377.onnx,452,4672,-4220,True,True,9b52b78bd3e2bfa2d9837ed1edc28b7aea7bbfa859063f82428bbf9c175dfa43,9634d0c4c5f2d3616c292399129487757b13a675d7e4d66ee409a56adffdec77,9ddbf1451c0220cea85b34766aa4d8a02b190a251b7f2bae338413247b81d9c7,True,
task381,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task381_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task381_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task381.onnx,400,544,-144,True,True,ebf1e59013474b1e1ee3486919874587e800e3df415c612b856b0e8861dbca9a,b8fc48156a5e19d7ae27af2ed7d6954afdb5a598125bad096a3b6d726219de3e,202861123c9de4d8a779de170d7b0145eaca16c1504566119a9dc972f4811e6b,True,
