task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task106,outputs\reference_6275_flat\task106.onnx,outputs\candidates\ref6275_zero_add_removed\task106_ZeroAddRemoved.onnx,746,746,0,2939,2939,0,0,0,no zero-add patterns found
task107,outputs\reference_6275_flat\task107.onnx,outputs\candidates\ref6275_zero_add_removed\task107_ZeroAddRemoved.onnx,42039,42039,0,31191,31191,0,0,0,no zero-add patterns found
task108,outputs\reference_6275_flat\task108.onnx,outputs\candidates\ref6275_zero_add_removed\task108_ZeroAddRemoved.onnx,9000,9000,0,7454,7454,0,0,0,no zero-add patterns found
task109,outputs\reference_6275_flat\task109.onnx,outputs\candidates\ref6275_zero_add_removed\task109_ZeroAddRemoved.onnx,2280,2280,0,5257,5257,0,0,0,no zero-add patterns found
task110,outputs\reference_6275_flat\task110.onnx,outputs\candidates\ref6275_zero_add_removed\task110_ZeroAddRemoved.onnx,2945,2945,0,20525,20525,0,0,0,no zero-add patterns found
task111,outputs\reference_6275_flat\task111.onnx,outputs\candidates\ref6275_zero_add_removed\task111_ZeroAddRemoved.onnx,225,225,0,1499,1499,0,0,0,no zero-add patterns found
task112,outputs\reference_6275_flat\task112.onnx,outputs\candidates\ref6275_zero_add_removed\task112_ZeroAddRemoved.onnx,564,564,0,3987,3987,0,0,0,no zero-add patterns found
task113,outputs\reference_6275_flat\task113.onnx,outputs\candidates\ref6275_zero_add_removed\task113_ZeroAddRemoved.onnx,270,270,0,499,499,0,0,0,no zero-add patterns found
task114,outputs\reference_6275_flat\task114.onnx,outputs\candidates\ref6275_zero_add_removed\task114_ZeroAddRemoved.onnx,924,924,0,4671,4671,0,0,0,no zero-add patterns found
task115,outputs\reference_6275_flat\task115.onnx,outputs\candidates\ref6275_zero_add_removed\task115_ZeroAddRemoved.onnx,423,423,0,3952,3952,0,0,0,no zero-add patterns found
task116,outputs\reference_6275_flat\task116.onnx,outputs\candidates\ref6275_zero_add_removed\task116_ZeroAddRemoved.onnx,270,270,0,479,479,0,0,0,no zero-add patterns found
task117,outputs\reference_6275_flat\task117.onnx,outputs\candidates\ref6275_zero_add_removed\task117_ZeroAddRemoved.onnx,1187,1187,0,7592,7592,0,0,0,no zero-add patterns found
