task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task097,outputs\current_6352_53_stack\overrides\task097.onnx,outputs\candidates\current_6352_53_zero_add_removed\task097_ZeroAddRemoved.onnx,626,626,0,1475,1475,0,0,0,no zero-add patterns found
task098,outputs\current_6352_53_stack\overrides\task098.onnx,outputs\candidates\current_6352_53_zero_add_removed\task098_ZeroAddRemoved.onnx,4550,4550,0,3836,3836,0,0,0,no zero-add patterns found
task099,outputs\current_6352_53_stack\overrides\task099.onnx,outputs\candidates\current_6352_53_zero_add_removed\task099_ZeroAddRemoved.onnx,17550,17550,0,14222,14222,0,0,0,no zero-add patterns found
task100,outputs\current_6352_53_stack\overrides\task100.onnx,outputs\candidates\current_6352_53_zero_add_removed\task100_ZeroAddRemoved.onnx,335,335,0,4954,4954,0,0,0,no zero-add patterns found
task101,outputs\current_6352_53_stack\overrides\task101.onnx,outputs\candidates\current_6352_53_zero_add_removed\task101_ZeroAddRemoved.onnx,25701,25692,-9,33885,33702,-183,2,1,
task102,outputs\current_6352_53_stack\overrides\task102.onnx,outputs\candidates\current_6352_53_zero_add_removed\task102_ZeroAddRemoved.onnx,1740,1740,0,4821,4821,0,0,0,no zero-add patterns found
task103,outputs\current_6352_53_stack\overrides\task103.onnx,outputs\candidates\current_6352_53_zero_add_removed\task103_ZeroAddRemoved.onnx,128,128,0,927,927,0,0,0,no zero-add patterns found
task104,outputs\current_6352_53_stack\overrides\task104.onnx,outputs\candidates\current_6352_53_zero_add_removed\task104_ZeroAddRemoved.onnx,3066,3066,0,3505,3505,0,0,0,no zero-add patterns found
task105,outputs\current_6352_53_stack\overrides\task105.onnx,outputs\candidates\current_6352_53_zero_add_removed\task105_ZeroAddRemoved.onnx,606,606,0,8053,8053,0,0,0,no zero-add patterns found
task106,outputs\current_6352_53_stack\overrides\task106.onnx,outputs\candidates\current_6352_53_zero_add_removed\task106_ZeroAddRemoved.onnx,746,746,0,2939,2939,0,0,0,no zero-add patterns found
task107,outputs\current_6352_53_stack\overrides\task107.onnx,outputs\candidates\current_6352_53_zero_add_removed\task107_ZeroAddRemoved.onnx,41375,41375,0,30216,30216,0,0,0,no zero-add patterns found
task108,outputs\current_6352_53_stack\overrides\task108.onnx,outputs\candidates\current_6352_53_zero_add_removed\task108_ZeroAddRemoved.onnx,9000,9000,0,7454,7454,0,0,0,no zero-add patterns found
task109,outputs\current_6352_53_stack\overrides\task109.onnx,outputs\candidates\current_6352_53_zero_add_removed\task109_ZeroAddRemoved.onnx,2144,2144,0,3980,3980,0,0,0,no zero-add patterns found
task110,outputs\current_6352_53_stack\overrides\task110.onnx,outputs\candidates\current_6352_53_zero_add_removed\task110_ZeroAddRemoved.onnx,2945,2945,0,20499,20499,0,0,0,no zero-add patterns found
task111,outputs\current_6352_53_stack\overrides\task111.onnx,outputs\candidates\current_6352_53_zero_add_removed\task111_ZeroAddRemoved.onnx,225,225,0,1499,1499,0,0,0,no zero-add patterns found
task112,outputs\current_6352_53_stack\overrides\task112.onnx,outputs\candidates\current_6352_53_zero_add_removed\task112_ZeroAddRemoved.onnx,564,564,0,3987,3987,0,0,0,no zero-add patterns found
task113,outputs\current_6352_53_stack\overrides\task113.onnx,outputs\candidates\current_6352_53_zero_add_removed\task113_ZeroAddRemoved.onnx,270,270,0,499,499,0,0,0,no zero-add patterns found
task114,outputs\current_6352_53_stack\overrides\task114.onnx,outputs\candidates\current_6352_53_zero_add_removed\task114_ZeroAddRemoved.onnx,924,924,0,4671,4671,0,0,0,no zero-add patterns found
task115,outputs\current_6352_53_stack\overrides\task115.onnx,outputs\candidates\current_6352_53_zero_add_removed\task115_ZeroAddRemoved.onnx,423,423,0,3952,3952,0,0,0,no zero-add patterns found
task116,outputs\current_6352_53_stack\overrides\task116.onnx,outputs\candidates\current_6352_53_zero_add_removed\task116_ZeroAddRemoved.onnx,270,270,0,479,479,0,0,0,no zero-add patterns found
task117,outputs\current_6352_53_stack\overrides\task117.onnx,outputs\candidates\current_6352_53_zero_add_removed\task117_ZeroAddRemoved.onnx,1147,1147,0,7552,7552,0,0,0,no zero-add patterns found
task118,outputs\current_6352_53_stack\overrides\task118.onnx,outputs\candidates\current_6352_53_zero_add_removed\task118_ZeroAddRemoved.onnx,444,444,0,4327,4327,0,0,0,no zero-add patterns found
task119,outputs\current_6352_53_stack\overrides\task119.onnx,outputs\candidates\current_6352_53_zero_add_removed\task119_ZeroAddRemoved.onnx,612,612,0,12826,12826,0,0,0,no zero-add patterns found
task120,outputs\current_6352_53_stack\overrides\task120.onnx,outputs\candidates\current_6352_53_zero_add_removed\task120_ZeroAddRemoved.onnx,4550,4550,0,3836,3836,0,0,0,no zero-add patterns found
