task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task101,outputs\onnx\task101.onnx,outputs\candidates\deduplicated_all\task101_DeduplicateInitializers.onnx,14360,14360,0,39301,39301,0,38,38,0,0
task102,outputs\onnx\task102.onnx,outputs\candidates\deduplicated_all\task102_DeduplicateInitializers.onnx,1137,1137,0,22167,22167,0,12,12,0,0
task103,outputs\onnx\task103.onnx,outputs\candidates\deduplicated_all\task103_DeduplicateInitializers.onnx,425,425,0,1669,1669,0,12,12,0,0
task104,outputs\onnx\task104.onnx,outputs\candidates\deduplicated_all\task104_DeduplicateInitializers.onnx,5414,5414,0,6350,6350,0,16,16,0,0
task105,outputs\onnx\task105.onnx,outputs\candidates\deduplicated_all\task105_DeduplicateInitializers.onnx,36364,36364,0,35291,35291,0,12,12,0,0
task106,outputs\onnx\task106.onnx,outputs\candidates\deduplicated_all\task106_DeduplicateInitializers.onnx,746,746,0,2939,2939,0,16,16,0,0
task107,outputs\onnx\task107.onnx,outputs\candidates\deduplicated_all\task107_DeduplicateInitializers.onnx,42039,42039,0,31191,31191,0,30,30,0,0
task108,outputs\onnx\task108.onnx,outputs\candidates\deduplicated_all\task108_DeduplicateInitializers.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task109,outputs\onnx\task109.onnx,outputs\candidates\deduplicated_all\task109_DeduplicateInitializers.onnx,2541,2541,0,5491,5491,0,14,14,0,0
task110,outputs\onnx\task110.onnx,outputs\candidates\deduplicated_all\task110_DeduplicateInitializers.onnx,4623,4623,0,21494,21494,0,51,51,0,0
task111,outputs\onnx\task111.onnx,outputs\candidates\deduplicated_all\task111_DeduplicateInitializers.onnx,248,248,0,1457,1457,0,9,9,0,0
task112,outputs\onnx\task112.onnx,outputs\candidates\deduplicated_all\task112_DeduplicateInitializers.onnx,564,564,0,3987,3987,0,18,18,0,0
task113,outputs\onnx\task113.onnx,outputs\candidates\deduplicated_all\task113_DeduplicateInitializers.onnx,270,270,0,499,499,0,1,1,0,0
task114,outputs\onnx\task114.onnx,outputs\candidates\deduplicated_all\task114_DeduplicateInitializers.onnx,934,934,0,4719,4719,0,21,21,0,0
task115,outputs\onnx\task115.onnx,outputs\candidates\deduplicated_all\task115_DeduplicateInitializers.onnx,429,429,0,5069,5069,0,20,20,0,0
task116,outputs\onnx\task116.onnx,outputs\candidates\deduplicated_all\task116_DeduplicateInitializers.onnx,270,270,0,479,479,0,1,1,0,0
task117,outputs\onnx\task117.onnx,outputs\candidates\deduplicated_all\task117_DeduplicateInitializers.onnx,2194,2113,-81,8262,8103,-159,43,40,0,3
task118,outputs\onnx\task118.onnx,outputs\candidates\deduplicated_all\task118_DeduplicateInitializers.onnx,9433,9433,0,160396,160396,0,39,39,0,0
task119,outputs\onnx\task119.onnx,outputs\candidates\deduplicated_all\task119_DeduplicateInitializers.onnx,5856,5856,0,25915,25915,0,27,27,0,0
task120,outputs\onnx\task120.onnx,outputs\candidates\deduplicated_all\task120_DeduplicateInitializers.onnx,4550,4550,0,3836,3836,0,2,2,0,0
