task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task088,outputs\reference_6275_flat\task088.onnx,outputs\candidates\ref6275_deduplicated\task088_DeduplicateInitializers.onnx,1008,1008,0,4099,4099,0,20,20,0,0
task089,outputs\reference_6275_flat\task089.onnx,outputs\candidates\ref6275_deduplicated\task089_DeduplicateInitializers.onnx,876,876,0,11171,11171,0,24,24,0,0
task090,outputs\reference_6275_flat\task090.onnx,outputs\candidates\ref6275_deduplicated\task090_DeduplicateInitializers.onnx,438,438,0,19660,19660,0,41,41,0,0
task091,outputs\reference_6275_flat\task091.onnx,outputs\candidates\ref6275_deduplicated\task091_DeduplicateInitializers.onnx,702,702,0,4393,4393,0,14,14,0,0
task092,outputs\reference_6275_flat\task092.onnx,outputs\candidates\ref6275_deduplicated\task092_DeduplicateInitializers.onnx,163,163,0,3438,3438,0,11,11,0,0
task093,outputs\reference_6275_flat\task093.onnx,outputs\candidates\ref6275_deduplicated\task093_DeduplicateInitializers.onnx,354,354,0,6234,6234,0,10,10,0,0
task094,outputs\reference_6275_flat\task094.onnx,outputs\candidates\ref6275_deduplicated\task094_DeduplicateInitializers.onnx,552,552,0,2932,2932,0,11,11,0,0
task095,outputs\reference_6275_flat\task095.onnx,outputs\candidates\ref6275_deduplicated\task095_DeduplicateInitializers.onnx,4550,4550,0,3950,3950,0,2,2,0,0
task096,outputs\reference_6275_flat\task096.onnx,outputs\candidates\ref6275_deduplicated\task096_DeduplicateInitializers.onnx,3998,3998,0,42567,42567,0,47,47,0,0
task097,outputs\reference_6275_flat\task097.onnx,outputs\candidates\ref6275_deduplicated\task097_DeduplicateInitializers.onnx,27,27,0,904,904,0,1,1,0,0
task098,outputs\reference_6275_flat\task098.onnx,outputs\candidates\ref6275_deduplicated\task098_DeduplicateInitializers.onnx,4550,4550,0,3836,3836,0,2,2,0,0
task099,outputs\reference_6275_flat\task099.onnx,outputs\candidates\ref6275_deduplicated\task099_DeduplicateInitializers.onnx,24550,24550,0,19839,19839,0,2,2,0,0
task100,outputs\reference_6275_flat\task100.onnx,outputs\candidates\ref6275_deduplicated\task100_DeduplicateInitializers.onnx,335,335,0,4954,4954,0,14,14,0,0
