task_id,selected_by,replacement_model_path,candidate_zip_path,upload_submission_path,archive_estimated_cost,current_estimated_cost,cost_delta_archive_minus_current,base_entry_size_bytes,replacement_file_size_bytes,base_sha256,replacement_sha256,candidate_valid,failure_reason
task278,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task278.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task278_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task278_ZeroInitializerCompression\submission.zip,,,,2799,2286,a70f9cf378e14a966f9c6ecc992d9e4373e7f5f959ed026f6623cb7be8929ea8,feae1a0f762047bb2c2c940233db0e1532aeabe70ca43e850e8416203915d325,True,
task279,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task279.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task279_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task279_ZeroInitializerCompression\submission.zip,,,,10314,6852,77ad3d002b2c64888991d763c754fc018247f352e78c562d64fca7db08032314,80787dedbd2df0cf588454bd0391f21880fccb24bcbafbd2695a13d48218c07c,True,
task280,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task280.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task280_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task280_ZeroInitializerCompression\submission.zip,,,,15536,14871,afe82e825f05eb8daa95905da41fc0553888bdcc6a5dbe4dff660c07806fdff3,5cf5227fbaea2dd6a5146a316d42d36cfbc3867c1518b605cbb8ef9445113c13,True,
task281,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task281.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task281_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task281_ZeroInitializerCompression\submission.zip,,,,5479,4738,082339765f10db32abbb7ac3454eafdfdb6b0be3a82ec60d9e69c2facad4423f,75406f39aff631866ad3551c7ff52f6caf4d64cb26069a00d1e9656492ee59f3,True,
task285,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task285.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task285_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task285_ZeroInitializerCompression\submission.zip,,,,21633,20873,e83439a383382aba557b2c3691ecd4134d2bf8c4e9b78f5b076b2eb9f3c78010,85233c35d593259dfe63a90bfeaaae6726f7ddf1f20ea9128eb3ee80512bcad3,True,
task299,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task299.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task299_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task299_ZeroInitializerCompression\submission.zip,,,,2080,2149,538d93759b62cedce366465f833629538674f456f846a34e82c5da84de041205,fd972b4b4a32fed3119e449f7a83006067bc31df459d3395638b982e4ff8d937,True,
task320,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task320.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task320_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task320_ZeroInitializerCompression\submission.zip,,,,2183,2229,b5f9d264034aafc2780289baeb60a45e338fd6478233a720f13b79faa2d6b39f,ccab802d926a67270e39d6bd375fdc7a2d2e623c8350313806de28bb47866eb5,True,
task325,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task325.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task325_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task325_ZeroInitializerCompression\submission.zip,,,,5072,4331,703958452270456b7d0aa9d4685a3bb4279c1a189050c3b1c4c5c0ef26767373,cc2bfb13108f980b0b1b0456289e5e1811789803dfcd317116a2f9e0aca03711,True,
task330,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task330.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task330_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task330_ZeroInitializerCompression\submission.zip,,,,7080,3338,a7a01e56dcd6ae19dcb2ef96cfcb82f68dbb794b53374913477737f9743258bd,387aa1da068b9a2dad05a8987b0a20c5625cd9ace192b4d10b2562943a6d7757,True,
task336,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task336.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task336_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task336_ZeroInitializerCompression\submission.zip,,,,5276,5321,66605e39204e06dd97980e812e93d14e7dab3eb0d815b075ac29202827cc6a4e,3bcc1568e5b27eaea77dd14d5aff4ad4f529260c023413d4364dcdc1946f7d88,True,
