task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task097,outputs\current_6349_78_stack\overrides\task097.onnx,outputs\candidates\dedup_6349_78\task097_DeduplicateInitializers.onnx,626,626,0,1475,1475,0,9,9,0,0
task098,outputs\current_6349_78_stack\overrides\task098.onnx,outputs\candidates\dedup_6349_78\task098_DeduplicateInitializers.onnx,4550,4550,0,3836,3836,0,2,2,0,0
task099,outputs\current_6349_78_stack\overrides\task099.onnx,outputs\candidates\dedup_6349_78\task099_DeduplicateInitializers.onnx,17550,17550,0,14222,14222,0,2,2,0,0
task100,outputs\current_6349_78_stack\overrides\task100.onnx,outputs\candidates\dedup_6349_78\task100_DeduplicateInitializers.onnx,335,335,0,4954,4954,0,14,14,0,0
task101,outputs\current_6349_78_stack\overrides\task101.onnx,outputs\candidates\dedup_6349_78\task101_DeduplicateInitializers.onnx,25701,25701,0,33885,33885,0,39,39,0,0
task102,outputs\current_6349_78_stack\overrides\task102.onnx,outputs\candidates\dedup_6349_78\task102_DeduplicateInitializers.onnx,1740,1740,0,4821,4821,0,25,25,0,0
task103,outputs\current_6349_78_stack\overrides\task103.onnx,outputs\candidates\dedup_6349_78\task103_DeduplicateInitializers.onnx,128,128,0,927,927,0,9,9,0,0
task104,outputs\current_6349_78_stack\overrides\task104.onnx,outputs\candidates\dedup_6349_78\task104_DeduplicateInitializers.onnx,3066,3066,0,3505,3505,0,16,16,0,0
task105,outputs\current_6349_78_stack\overrides\task105.onnx,outputs\candidates\dedup_6349_78\task105_DeduplicateInitializers.onnx,606,606,0,8053,8053,0,18,18,0,0
task106,outputs\current_6349_78_stack\overrides\task106.onnx,outputs\candidates\dedup_6349_78\task106_DeduplicateInitializers.onnx,746,746,0,2939,2939,0,16,16,0,0
task107,outputs\current_6349_78_stack\overrides\task107.onnx,outputs\candidates\dedup_6349_78\task107_DeduplicateInitializers.onnx,41375,41375,0,30216,30216,0,30,30,0,0
task108,outputs\current_6349_78_stack\overrides\task108.onnx,outputs\candidates\dedup_6349_78\task108_DeduplicateInitializers.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task109,outputs\current_6349_78_stack\overrides\task109.onnx,outputs\candidates\dedup_6349_78\task109_DeduplicateInitializers.onnx,2144,2144,0,3980,3980,0,14,14,0,0
task110,outputs\current_6349_78_stack\overrides\task110.onnx,outputs\candidates\dedup_6349_78\task110_DeduplicateInitializers.onnx,2945,2945,0,20499,20499,0,52,52,0,0
task111,outputs\current_6349_78_stack\overrides\task111.onnx,outputs\candidates\dedup_6349_78\task111_DeduplicateInitializers.onnx,225,225,0,1499,1499,0,8,8,0,0
task112,outputs\current_6349_78_stack\overrides\task112.onnx,outputs\candidates\dedup_6349_78\task112_DeduplicateInitializers.onnx,564,564,0,3987,3987,0,18,18,0,0
task113,outputs\current_6349_78_stack\overrides\task113.onnx,outputs\candidates\dedup_6349_78\task113_DeduplicateInitializers.onnx,270,270,0,499,499,0,1,1,0,0
