task_id,lane,source_model_path,output_model_path,source_estimated_cost,output_estimated_cost,estimated_cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_bytes,output_initializer_bytes,initializer_bytes_delta,source_initializer_count,output_initializer_count,changed,removed_dead_nodes,removed_unused_initializers,removed_unused_value_info,deduplicated_initializers,constant_gather_tables_pruned,constant_gather_rows_removed,constant_gather_bytes_removed,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task220,base_submission,outputs\current_6352_53_stack\base_submission\task220.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task220_base_submission_NoopNodePruned.onnx,900,900,0,3798,3798,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task222,base_submission,outputs\current_6352_53_stack\base_submission\task222.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task222_base_submission_NoopNodePruned.onnx,58035,58035,0,2578,2578,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task230,base_submission,outputs\current_6352_53_stack\base_submission\task230.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task230_base_submission_NoopNodePruned.onnx,900,900,0,3798,3798,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task241,base_submission,outputs\current_6352_53_stack\base_submission\task241.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task241_base_submission_NoopNodePruned.onnx,0,0,0,170,170,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task246,base_submission,outputs\current_6352_53_stack\base_submission\task246.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task246_base_submission_NoopNodePruned.onnx,13391,13391,0,3824,3824,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task253,base_submission,outputs\current_6352_53_stack\base_submission\task253.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task253_base_submission_NoopNodePruned.onnx,48269,48269,0,3510,3510,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task261,base_submission,outputs\current_6352_53_stack\base_submission\task261.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task261_base_submission_NoopNodePruned.onnx,200,200,0,995,995,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task266,base_submission,outputs\current_6352_53_stack\base_submission\task266.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task266_base_submission_NoopNodePruned.onnx,910,910,0,3825,3825,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task271,base_submission,outputs\current_6352_53_stack\base_submission\task271.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task271_base_submission_NoopNodePruned.onnx,28991,28991,0,1993,1993,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task276,base_submission,outputs\current_6352_53_stack\base_submission\task276.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task276_base_submission_NoopNodePruned.onnx,10,10,0,217,217,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task282,base_submission,outputs\current_6352_53_stack\base_submission\task282.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task282_base_submission_NoopNodePruned.onnx,900,900,0,3798,3798,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task283,base_submission,outputs\current_6352_53_stack\base_submission\task283.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task283_base_submission_NoopNodePruned.onnx,910,910,0,3825,3825,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task287,base_submission,outputs\current_6352_53_stack\base_submission\task287.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task287_base_submission_NoopNodePruned.onnx,22566,22566,0,1686,1686,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task291,base_submission,outputs\current_6352_53_stack\base_submission\task291.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task291_base_submission_NoopNodePruned.onnx,4327,4327,0,6009,6009,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task294,base_submission,outputs\current_6352_53_stack\base_submission\task294.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task294_base_submission_NoopNodePruned.onnx,910,910,0,3825,3825,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task305,base_submission,outputs\current_6352_53_stack\base_submission\task305.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task305_base_submission_NoopNodePruned.onnx,3952,3952,0,1865,1865,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task309,base_submission,outputs\current_6352_53_stack\base_submission\task309.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task309_base_submission_NoopNodePruned.onnx,10,10,0,217,217,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task311,base_submission,outputs\current_6352_53_stack\base_submission\task311.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task311_base_submission_NoopNodePruned.onnx,30,30,0,479,479,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task312,base_submission,outputs\current_6352_53_stack\base_submission\task312.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task312_base_submission_NoopNodePruned.onnx,9979,9979,0,1202,1202,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task317,base_submission,outputs\current_6352_53_stack\base_submission\task317.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task317_base_submission_NoopNodePruned.onnx,900,900,0,3798,3798,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task325,base_submission,outputs\current_6352_53_stack\base_submission\task325.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task325_base_submission_NoopNodePruned.onnx,43022,43022,0,5072,5072,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task331,base_submission,outputs\current_6352_53_stack\base_submission\task331.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task331_base_submission_NoopNodePruned.onnx,910,910,0,3836,3836,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task337,base_submission,outputs\current_6352_53_stack\base_submission\task337.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task337_base_submission_NoopNodePruned.onnx,10,10,0,159,159,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task351,base_submission,outputs\current_6352_53_stack\base_submission\task351.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task351_base_submission_NoopNodePruned.onnx,35154,35154,0,3049,3049,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task353,base_submission,outputs\current_6352_53_stack\base_submission\task353.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task353_base_submission_NoopNodePruned.onnx,5411,5411,0,3244,3244,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task385,base_submission,outputs\current_6352_53_stack\base_submission\task385.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task385_base_submission_NoopNodePruned.onnx,30,30,0,175,175,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task391,base_submission,outputs\current_6352_53_stack\base_submission\task391.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task391_base_submission_NoopNodePruned.onnx,10021,10021,0,2841,2841,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task398,base_submission,outputs\current_6352_53_stack\base_submission\task398.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task398_base_submission_NoopNodePruned.onnx,84295,84295,0,8682,8682,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task400,base_submission,outputs\current_6352_53_stack\base_submission\task400.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task400_base_submission_NoopNodePruned.onnx,35153,35153,0,3021,3021,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
