task_id,valid,model_path,estimated_cost,file_size_bytes,failure_reason,selected_for_zip
task220,True,outputs\hybrid_6275_current_min_cost_onnx\task220.onnx,4500,3798,,True
task221,True,outputs\hybrid_6275_current_min_cost_onnx\task221.onnx,15246,13333,,True
task222,True,outputs\hybrid_6275_current_min_cost_onnx\task222.onnx,405,2578,,True
task223,True,outputs\hybrid_6275_current_min_cost_onnx\task223.onnx,9000,7454,,True
task224,True,outputs\hybrid_6275_current_min_cost_onnx\task224.onnx,690,4703,,True
task225,True,outputs\hybrid_6275_current_min_cost_onnx\task225.onnx,2387,5688,,True
task226,True,outputs\hybrid_6275_current_min_cost_onnx\task226.onnx,621,4625,,True
task227,True,outputs\hybrid_6275_current_min_cost_onnx\task227.onnx,297,1135,,True
task228,True,outputs\hybrid_6275_current_min_cost_onnx\task228.onnx,492,2649,,True
task229,True,outputs\hybrid_6275_current_min_cost_onnx\task229.onnx,333,1379,,True
task230,True,outputs\hybrid_6275_current_min_cost_onnx\task230.onnx,4500,3798,,True
task231,True,outputs\hybrid_6275_current_min_cost_onnx\task231.onnx,837,2684,,True
task232,True,outputs\hybrid_6275_current_min_cost_onnx\task232.onnx,273,1616,,True
task233,True,outputs\hybrid_6275_current_min_cost_onnx\task233.onnx,6131,193251,,True
task234,True,outputs\hybrid_6275_current_min_cost_onnx\task234.onnx,348,4106,,True
task235,True,outputs\hybrid_6275_current_min_cost_onnx\task235.onnx,612,3090,,True
task236,True,outputs\hybrid_6275_current_min_cost_onnx\task236.onnx,0,643,,True
task237,True,outputs\hybrid_6275_current_min_cost_onnx\task237.onnx,291,1637,,True
task238,True,outputs\hybrid_6275_current_min_cost_onnx\task238.onnx,4467,12003,,True
task239,True,outputs\hybrid_6275_current_min_cost_onnx\task239.onnx,1284,3146,,True
task240,True,outputs\hybrid_6275_current_min_cost_onnx\task240.onnx,582,3953,,True
task241,True,outputs\hybrid_6275_current_min_cost_onnx\task241.onnx,0,170,,True
