task_id,selected_source,selected_model_path,selected_estimated_cost,selected_file_size_bytes,ref6275_valid,ref6275_estimated_cost,ref6275_file_size_bytes,ref6275_failure_reason,ref6348_base_valid,ref6348_base_estimated_cost,ref6348_base_file_size_bytes,ref6348_base_failure_reason,ref6348_overrides_valid,ref6348_overrides_estimated_cost,ref6348_overrides_file_size_bytes,ref6348_overrides_failure_reason,best_6348_source,best_6348_estimated_cost,cost_delta_6275_minus_best_6348
task102,ref6348_base,outputs\reference_6348_56_stack\base_submission\task102.onnx,1137,22167,True,1809,6482,,True,1137,22167,,True,1740,4821,,ref6348_base,1137,672
task103,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task103.onnx,128,927,True,180,979,,True,425,1669,,True,128,927,,ref6348_overrides,128,52
task104,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task104.onnx,3066,3505,True,3066,3505,,True,5414,6350,,True,3066,3505,,ref6348_overrides,3066,0
task105,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task105.onnx,606,8053,True,606,8053,,True,36364,35291,,True,606,8053,,ref6348_overrides,606,0
task106,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task106.onnx,746,2939,True,746,2939,,True,746,2939,,True,746,2939,,ref6348_overrides,746,0
task107,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task107.onnx,41375,30216,True,42039,31191,,True,42039,31191,,True,41375,30216,,ref6348_overrides,41375,664
task108,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task108.onnx,9000,7454,True,9000,7454,,True,9000,7454,,True,9000,7454,,ref6348_overrides,9000,0
task109,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task109.onnx,2144,3980,True,2280,5257,,True,2541,5491,,True,2144,3980,,ref6348_overrides,2144,136
task110,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task110.onnx,2945,20499,True,2945,20525,,True,4623,21494,,True,2945,20499,,ref6348_overrides,2945,0
task111,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task111.onnx,225,1499,True,225,1499,,True,248,1457,,True,225,1499,,ref6348_overrides,225,0
task112,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task112.onnx,564,3987,True,564,3987,,True,564,3987,,True,564,3987,,ref6348_overrides,564,0
task113,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task113.onnx,270,499,True,270,499,,True,270,499,,True,270,499,,ref6348_overrides,270,0
task114,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task114.onnx,924,4671,True,924,4671,,True,934,4719,,True,924,4671,,ref6348_overrides,924,0
task115,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task115.onnx,423,3952,True,423,3952,,True,429,5069,,True,423,3952,,ref6348_overrides,423,0
task116,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task116.onnx,270,479,True,270,479,,True,270,479,,True,270,479,,ref6348_overrides,270,0
task117,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task117.onnx,1147,7552,True,1187,7592,,True,2194,8262,,True,1147,7552,,ref6348_overrides,1147,40
task118,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task118.onnx,444,4327,True,522,4432,,True,9433,160396,,True,444,4327,,ref6348_overrides,444,78
task119,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task119.onnx,612,12826,True,612,13672,,True,5856,25915,,True,612,12826,,ref6348_overrides,612,0
task120,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task120.onnx,4550,3836,True,4550,3836,,True,4550,3836,,True,4550,3836,,ref6348_overrides,4550,0
task121,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task121.onnx,366,3339,True,366,3339,,True,366,3339,,True,366,3339,,ref6348_overrides,366,0
task122,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task122.onnx,12550,10236,True,12550,10236,,True,12550,10236,,True,12550,10236,,ref6348_overrides,12550,0
