task_id,selected_source,selected_model_path,selected_estimated_cost,selected_file_size_bytes,archive_valid,archive_estimated_cost,archive_file_size_bytes,archive_failure_reason,current_valid,current_estimated_cost,current_file_size_bytes,current_failure_reason
task140,archive,outputs\hybrid_6275_current_safe_onnx\task140.onnx,72,394,True,72,394,,True,144,474,
task141,current,outputs\hybrid_6275_current_safe_onnx\task141.onnx,409,2345,True,409,2345,,True,409,2345,
task142,current,outputs\hybrid_6275_current_safe_onnx\task142.onnx,9000,7454,True,9000,7454,,True,9000,7454,
task143,archive,outputs\hybrid_6275_current_safe_onnx\task143.onnx,441,2144,True,441,2144,,True,465,2690,
task144,archive,outputs\hybrid_6275_current_safe_onnx\task144.onnx,306,1321,True,306,1321,,True,322,1639,
task145,archive,outputs\hybrid_6275_current_safe_onnx\task145.onnx,2979,19982,True,2979,19982,,True,2979,31434,
task146,current,outputs\hybrid_6275_current_safe_onnx\task146.onnx,203,1894,True,203,1894,,True,203,1894,
task147,current,outputs\hybrid_6275_current_safe_onnx\task147.onnx,4550,3825,True,4550,3825,,True,4550,3825,
task148,archive,outputs\hybrid_6275_current_safe_onnx\task148.onnx,1221,6750,True,1221,6750,,True,1873,10573,
task149,current,outputs\hybrid_6275_current_safe_onnx\task149.onnx,232,1404,True,455,859,,True,232,1404,
task150,archive,outputs\hybrid_6275_current_safe_onnx\task150.onnx,196,618,True,196,618,,True,302,1320,
task151,current,outputs\hybrid_6275_current_safe_onnx\task151.onnx,525,2352,True,4550,3880,,True,525,2352,
task152,current,outputs\hybrid_6275_current_safe_onnx\task152.onnx,9000,7454,True,9000,7454,,True,9000,7454,
task153,archive,outputs\hybrid_6275_current_safe_onnx\task153.onnx,1149,11725,True,1149,11725,,True,3320,799256,
task154,archive,outputs\hybrid_6275_current_safe_onnx\task154.onnx,3318,6366,True,3318,6366,,True,4966,7650,
task155,archive,outputs\hybrid_6275_current_safe_onnx\task155.onnx,196,618,True,196,618,,True,311,1347,
task156,current,outputs\hybrid_6275_current_safe_onnx\task156.onnx,2979,7856,True,5888,48746,,True,2979,7856,
task157,archive,outputs\hybrid_6275_current_safe_onnx\task157.onnx,1887,151146,True,1887,151146,,True,809080,677188,
task158,archive,outputs\hybrid_6275_current_safe_onnx\task158.onnx,2147,33661,True,2147,33661,,True,4613,95337,
task159,archive,outputs\hybrid_6275_current_safe_onnx\task159.onnx,12549,12822,True,12549,12822,,True,12549,12966,
task160,archive,outputs\hybrid_6275_current_safe_onnx\task160.onnx,363,2171,True,363,2171,,True,571,2362,
task161,archive,outputs\hybrid_6275_current_safe_onnx\task161.onnx,240,4323,True,240,4323,,True,389,6008,
task162,current,outputs\hybrid_6275_current_safe_onnx\task162.onnx,183,2268,True,183,2268,,True,183,2268,
task163,archive,outputs\hybrid_6275_current_safe_onnx\task163.onnx,6681,11364,True,6681,11364,,True,9439,13875,
task164,current,outputs\hybrid_6275_current_safe_onnx\task164.onnx,270,479,True,270,479,,True,270,479,
task165,current,outputs\hybrid_6275_current_safe_onnx\task165.onnx,3162,4910,True,3162,5614,,True,3162,4910,
task166,archive,outputs\hybrid_6275_current_safe_onnx\task166.onnx,267,1318,True,267,1318,,True,289,1628,
task167,archive,outputs\hybrid_6275_current_safe_onnx\task167.onnx,1020,1673,True,1020,1673,,True,1562,2375,
task168,archive,outputs\hybrid_6275_current_safe_onnx\task168.onnx,675,4620,True,675,4620,,True,1505,7297,
task169,archive,outputs\hybrid_6275_current_safe_onnx\task169.onnx,2133,20785,True,2133,20785,,True,4799,23816,
task170,archive,outputs\hybrid_6275_current_safe_onnx\task170.onnx,1425,50577,True,1425,50577,,True,19255,64849,
task171,current,outputs\hybrid_6275_current_safe_onnx\task171.onnx,4550,3825,True,4550,3825,,True,4550,3825,
task172,current,outputs\hybrid_6275_current_safe_onnx\task172.onnx,270,479,True,270,479,,True,270,479,
task173,current,outputs\hybrid_6275_current_safe_onnx\task173.onnx,751,10108,True,753,10061,,True,751,10108,
task174,current,outputs\hybrid_6275_current_safe_onnx\task174.onnx,614,61839,True,614,61839,,True,614,61839,
task175,archive,outputs\hybrid_6275_current_safe_onnx\task175.onnx,13677,12317,True,13677,12317,,True,13760,12320,
task176,archive,outputs\hybrid_6275_current_safe_onnx\task176.onnx,504,1126,True,504,1126,,True,696,1420,
task177,archive,outputs\hybrid_6275_current_safe_onnx\task177.onnx,912,3189,True,912,3189,,True,945,4180,
task178,archive,outputs\hybrid_6275_current_safe_onnx\task178.onnx,755,6317,True,755,6317,,True,3009,11303,
task179,current,outputs\hybrid_6275_current_safe_onnx\task179.onnx,0,170,True,0,170,,True,0,170,
task180,archive,outputs\hybrid_6275_current_safe_onnx\task180.onnx,2838,2525,True,2838,2525,,True,4658,4414,
task181,current,outputs\hybrid_6275_current_safe_onnx\task181.onnx,672,3083,True,672,3083,,True,672,3083,
task182,current,outputs\hybrid_6275_current_safe_onnx\task182.onnx,2930,70465,True,3574,19158,,True,2930,70465,
task183,archive,outputs\hybrid_6275_current_safe_onnx\task183.onnx,200,4662,True,200,4662,,True,250,4645,
task184,archive,outputs\hybrid_6275_current_safe_onnx\task184.onnx,48350,43202,True,48350,43202,,True,250,6934,
task185,current,outputs\hybrid_6275_current_safe_onnx\task185.onnx,595,18881,True,595,18881,,True,595,18881,
task186,archive,outputs\hybrid_6275_current_safe_onnx\task186.onnx,192,924,True,192,924,,True,1994,2418,
task187,archive,outputs\hybrid_6275_current_safe_onnx\task187.onnx,1894,9705,True,1894,9705,,True,1899,8852,
task188,archive,outputs\hybrid_6275_current_safe_onnx\task188.onnx,312,3259,True,312,3259,,True,352,4356,
task189,archive,outputs\hybrid_6275_current_safe_onnx\task189.onnx,1449,10578,True,1449,10578,,True,1968,8560,
task190,current,outputs\hybrid_6275_current_safe_onnx\task190.onnx,1538,8781,True,1538,8781,,True,1538,8781,
task191,current,outputs\hybrid_6275_current_safe_onnx\task191.onnx,773,132233,True,3831,10881,,True,773,132233,
task192,current,outputs\hybrid_6275_current_safe_onnx\task192.onnx,327,2511,True,436,2089,,True,327,2511,
task193,current,outputs\hybrid_6275_current_safe_onnx\task193.onnx,327,1925,True,327,1925,,True,327,1925,
task194,current,outputs\hybrid_6275_current_safe_onnx\task194.onnx,9000,7454,True,9000,7454,,True,9000,7454,
task195,current,outputs\hybrid_6275_current_safe_onnx\task195.onnx,4073,5381,True,4073,5381,,True,4073,5381,
task196,archive,outputs\hybrid_6275_current_safe_onnx\task196.onnx,342,3491,True,342,3491,,True,431,3457,
task197,archive,outputs\hybrid_6275_current_safe_onnx\task197.onnx,66,1223,True,66,1223,,True,92,1758,
task198,current,outputs\hybrid_6275_current_safe_onnx\task198.onnx,2799,6979,True,2799,6979,,True,2799,6979,
task199,current,outputs\hybrid_6275_current_safe_onnx\task199.onnx,378,2948,True,378,2948,,True,378,2948,
task200,archive,outputs\hybrid_6275_current_safe_onnx\task200.onnx,326,3848,True,326,3848,,True,965,14101,
task201,archive,outputs\hybrid_6275_current_safe_onnx\task201.onnx,1374,9668,True,1374,9668,,True,3246,10924,
task202,current,outputs\hybrid_6275_current_safe_onnx\task202.onnx,50,3582,True,50,3582,,True,50,3582,
task203,archive,outputs\hybrid_6275_current_safe_onnx\task203.onnx,484,2814,True,484,2814,,True,3544,6437,
task204,current,outputs\hybrid_6275_current_safe_onnx\task204.onnx,3202,5801,True,3563,7250,,True,3202,5801,
task205,current,outputs\hybrid_6275_current_safe_onnx\task205.onnx,1114,48510,True,5466,33601,,True,1114,48510,
task206,archive,outputs\hybrid_6275_current_safe_onnx\task206.onnx,362,4022,True,362,4022,,True,1020,20303,
task207,archive,outputs\hybrid_6275_current_safe_onnx\task207.onnx,303,1979,True,303,1979,,True,307,2330,
task208,archive,outputs\hybrid_6275_current_safe_onnx\task208.onnx,1806,15747,True,1806,15747,,True,1806,15885,
