task_id,ref6275_valid_structural,ref6275_params,ref6275_memory_bytes,ref6275_estimated_cost,ref6275_estimated_score,ref6275_file_size_bytes,ref6275_file_size_ok,ref6275_node_count,ref6275_initializer_count,ref6275_forbidden_ops,ref6275_unused_initializer_count,ref6275_unused_initializer_params,ref6275_duplicate_group_count,ref6275_duplicate_saved_params,ref6275_sha256,current_valid_structural,current_params,current_memory_bytes,current_estimated_cost,current_estimated_score,current_file_size_bytes,current_file_size_ok,current_node_count,current_initializer_count,current_forbidden_ops,current_unused_initializer_count,current_unused_initializer_params,current_duplicate_group_count,current_duplicate_saved_params,current_sha256,same_sha256,cost_delta_ref_minus_current,score_delta_ref_minus_current,file_delta_ref_minus_current,cheaper_source_by_cost
task058,True,6426,12989,19415,15.126198757834233,14194,True,16,11,,0,0,0,0,71e240c72fa17283e6d2dc3cae811ceadda7ba3053e33951bd50565b4eaf652a,True,6445,25812,32257,14.618509647065384,27439,True,15,11,,0,0,0,0,4e55a6bf22945253193de151ca9e08970485d28911fd21ae67ea20e7e71ece72,False,-12842,0.5076891107688493,-13245,ref6275
task059,True,2547,5274,7821,16.035432297398387,6897,True,20,16,,0,0,0,0,6f93fccf92e34dbb6b51e75c53fd4882a6ba090c755d7c47d23c132b936f7520,True,2553,10356,12909,15.53431997849329,12715,True,20,19,,0,0,0,0,7b3cd67ffb0008721082c7e1497b195b3c91364ade4b206a8aca22caba8fd4c5,False,-5088,0.501112318905097,-5818,ref6275
task060,True,181,590,771,18.35231162643667,2458,True,20,18,,0,0,0,0,03687375b7e8938e4f841fe856da30c83884468ff07c648d7021c6b6748784bd,True,181,876,1057,18.036810014129763,3039,True,16,18,,0,0,0,0,ea4ad862446e19cbf2b7fecaf9051e6801c47b6c337bfc46e9530eddcebc41e9,False,-286,0.31550161230690676,-581,ref6275
task061,True,1972,15754,17726,15.217212232701657,17030,True,9,12,,0,0,0,0,27289ea0d11a669fe413e1b05826321af3d079ce8a5555fa2610a93704612c2e,True,1972,15754,17726,15.217212232701657,17030,True,9,12,,0,0,0,0,27289ea0d11a669fe413e1b05826321af3d079ce8a5555fa2610a93704612c2e,True,0,0.0,0,tie
task062,True,934,2060,2994,16.995634435020428,23218,True,216,29,,0,0,0,0,1c577ea94e1bc298dfc111e87fedc94e09375ee2dfa75f9f79532ac2214393bf,True,929,3784,4713,16.54192007307627,22124,True,194,26,,0,0,0,0,d57d9a3dc711a3fa8561eb45e9b6fd261c7ab89c7fb30c7fca0080d49013c37c,False,-1719,0.45371436194415793,1094,ref6275
task063,True,32,244,276,19.37959913428285,3709,True,34,13,,0,0,0,0,5c8811b2da8473750953376c6dbdd913b50bc29b96f9a16a09cf201df9a483ce,True,32,244,276,19.37959913428285,3709,True,34,13,,0,0,0,0,5c8811b2da8473750953376c6dbdd913b50bc29b96f9a16a09cf201df9a483ce,True,0,0.0,0,tie
task064,True,92,692,784,18.33559097964959,7151,True,68,20,,0,0,0,0,e218f014e0f41fbf58f0a21d6c18ab365d24b6b93f7c8bb533378039b355a02c,True,238,740,978,18.114490329965182,5809,True,48,12,,0,0,0,0,58b449d06ee31558e5b72e234bafcedd075ca374d90de0e17b116281716fafd3,False,-194,0.22110064968440923,1342,ref6275
task065,True,63,306,369,19.089203355959473,1853,True,37,12,,0,0,0,0,92cb5dba08fb950f061cb485387a7c9e6a77adc90a2d35dcde1edca6405889d3,True,77,484,561,18.670279094477305,2705,True,36,12,,0,0,0,0,a191af856b41ba1a6079e9a8dc2ef26069291cfbf182a5623693579f33263b3c,False,-192,0.418924261482168,-852,ref6275
task066,True,138,1098,1236,17.880364361982366,27538,True,326,21,,0,0,0,0,bc6e251ce56e4e6a4dd7124d8e0b314653c4ac22f28890a06480dd3a82f58c9f,True,116,314,430,18.93621479131239,180173,True,1642,29,,0,0,0,0,b61c747510a726482b9e94d6a1f12568b4252800f11145d34630404f68048d3c,False,806,-1.0558504293300253,-152635,current
task067,True,33,132,165,19.89405452609942,892,True,7,4,,0,0,0,0,e823d84640b258f8322dde914f6bd992553a53aadd84d4685cd18da5f1be35e9,True,33,132,165,19.89405452609942,892,True,7,4,,0,0,0,0,e823d84640b258f8322dde914f6bd992553a53aadd84d4685cd18da5f1be35e9,True,0,0.0,0,tie
task068,True,27,150,177,19.82385026742617,1602,True,24,11,,0,0,0,0,e490818d91a162474f9a9ed4c4d7a03517788fb18760e2fe6ca209f592660a82,True,27,172,199,19.706695175275506,2335,True,23,11,,0,0,0,0,fda283a479d2067e6eebc121aa1bc5b50af395b15a844c4a0742f3861f4d58f9,False,-22,0.11715509215066433,-733,ref6275
task069,True,1392,3210,4602,16.56575372940469,30432,True,380,41,,0,0,0,0,bfa11e10a1b7754b93ff268324f4bdacfe5ca600d6eaecd3d7ecc21b94d2e194,True,2312,5050,7362,16.09591308606103,32330,True,380,43,,0,0,0,0,fb91d90981c4b2168ade67173f5ea1376db182db9350dbdf930d3cb5026325da,False,-2760,0.4698406433436588,-1898,ref6275
task070,True,78,180,258,19.447040415078384,11844,True,71,16,,0,0,0,0,c09e95105072fd97b2106ecebc5fdb42c86bd41e9994b310781aa321351ec9d5,True,78,180,258,19.447040415078384,11844,True,71,16,,0,0,0,0,c09e95105072fd97b2106ecebc5fdb42c86bd41e9994b310781aa321351ec9d5,True,0,0.0,0,tie
